State,Index_Value
AGUASCALIENTES,111
BAJA CALIFORNIA,105
BAJA CALIFORNIA SUR,108
CAMPECHE,99
COAHUILA DE ZARAGOZA,107
COLIMA,107
CHIAPAS,81
CHIHUAHUA,103
CIUDAD DE MEXICO,117
DURANGO,101
GUANAJUATO,105
GUERRERO,85
HIDALGO,96
JALISCO,112
MEXICO,103
MICHOACAN DE OCAMPO,100
MORELOS,102
NAYARIT,100
NUEVO LEON,102
OAXACA,80
PUEBLA,93
QUERETARO,107
QUINTANA ROO,103
SAN LUIS POTOSI,102
SINALOA,100
SONORA,102
TABASCO,89
TAMAULIPAS,98
TLAXCALA,92
VERACRUZ DE IGNACIO DE LA LLAVE,90
YUCATAN,99
ZACATECAS,105
