ESTADO,KM
CHIHUAHUA,247455
SONORA,179355
COAHUILA DE ZARAGOZA,151562
DURANGO,123317
OAXACA,93757
TAMAULIPAS,80249
JALISCO,78588
ZACATECAS,75284
BAJA CALIFORNIA SUR,73909
CHIAPAS,73311
VERACRUZ DE IGNACIO DE LA LLAVE,71826
BAJA CALIFORNIA,71450
NUEVO LEON,64156
GUERRERO,63596
SAN LUIS POTOSI,61137
MICHOACAN DE OCAMPO,58599
SINALOA,58200
CAMPECHE,57507
QUINTANA ROO,44705
YUCATAN,39524
PUEBLA,34306
GUANAJUATO,30608
NAYARIT,27857
TABASCO,24731
MEXICO,22351
HIDALGO,20813
QUERETARO,11699
COLIMA,5627
AGUASCALIENTES,5616
MORELOS,4879
TLAXCALA,4016
CIUDAD DE MEXICO,1495
