ESTADO,NODENTISTAS,%SHARE,POBLACION,LAT,LONG,POBLACIONK,EXTENSIONKM,EXTENSIONKMK,POBLA/km2,DENTISTAS/km2,DENTISTAS/POBLACION,PODERADQUISITIVO
MEXICO,5185,11.6750354641868,15175862,19.4968732,-99.72326729999999,15175.862,22351,223.51,678.9791060802648,4.310703953712633,2926.8779170684666,10300
CIUDAD DE MEXICO,4666,10.506406070568103,8851080,19.4326077,-99.133208,8851.08,1495,14.95,5920.454849498327,0.3204029147021003,1896.9309901414488,11700
JALISCO,2747,6.185404516898966,7350682,20.6595382,-103.3494376,7350.682,78588,785.88,93.53440728864457,28.60866399708773,2675.8944302875866,11200
VERACRUZ DE IGNACIO DE LA LLAVE,2445,5.505392808088086,7643194,19.2601605,-96.57833869999999,7643.194,71826,718.26,106.41263609277978,29.376687116564415,3126.0507157464212,9000
MICHOACAN DE OCAMPO,2372,5.341019116885456,4351037,19.5665192,-101.7068294,4351.037,58599,585.99,74.25104523967985,24.704468802698145,1834.3326306913996,10000
NUEVO LEON,2162,4.86816329287789,4653458,25.592172,-99.99619469999999,4653.458,64156,641.56,72.53348089032983,29.674375578168362,2152.385753931545,10200
BAJA CALIFORNIA,2146,4.8321361824773135,3155070,30.8406338,-115.2837585,3155.07,71450,714.5,44.15773268019594,33.294501397949674,1470.2096924510718,10500
PUEBLA,2108,4.746571795275945,5779829,19.0414398,-98.2062727,5779.829,34306,343.06,168.47866262461378,16.274193548387096,2741.8543643263756,9300
GUANAJUATO,2104,4.737565017675801,5486372,21.0190145,-101.2573586,5486.372,30608,306.08,179.24634082592786,14.547528517110266,2607.591254752852,10500
CHIHUAHUA,1383,3.1140933552498256,3406465,28.6329957,-106.0691004,3406.465,247455,2474.55,13.76599785819644,178.92624728850325,2463.098336948662,10300
TAMAULIPAS,1367,3.078066244849249,3268554,24.26694,-98.8362755,3268.554,80249,802.49,40.73015240065297,58.70446232626189,2391.041697147037,9800
OAXACA,1314,2.9587264416473396,3801962,17.0731842,-96.7265889,3801.962,93757,937.57,40.551233507898075,71.3523592085236,2893.426179604262,8000
SINALOA,1240,2.7921010560446735,2767761,25.1721091,-107.4795173,2767.761,58200,582.0,47.55603092783505,46.935483870967744,2232.065322580645,10000
COAHUILA DE ZARAGOZA,1168,2.6299790592420798,2748391,27.058676,-101.7068294,2748.391,151562,1515.62,18.133773637191382,129.76198630136986,2353.0744863013697,10700
CHIAPAS,1077,2.4250748688388013,4796580,16.7569318,-93.12923529999999,4796.58,73311,733.11,65.42783484061054,68.06963788300835,4453.649025069638,8100
SAN LUIS POTOSI,1011,2.276463038436423,2585518,22.1564699,-100.9855409,2585.518,61137,611.37,42.29056054435121,60.47181008902077,2557.3867457962415,10200
HIDALGO,996,2.242687622435883,2665018,26.1003547,-98.2630684,2665.018,20813,208.13,128.04583673665496,20.896586345381525,2675.7208835341366,9600
SONORA,956,2.152619846434442,2662480,29.2972247,-110.3308814,2662.48,179355,1793.55,14.844749240333417,187.60983263598325,2785.020920502092,10200
QUERETARO,938,2.1120893472337934,1827937,20.5887932,-100.3898881,1827.937,11699,116.99,156.24728609282846,12.47228144989339,1948.7601279317698,10700
GUERRERO,842,1.8959266848303347,3388768,17.4391926,-99.54509739999999,3388.768,63596,635.96,53.28586703566262,75.52969121140143,4024.665083135392,8500
MORELOS,808,1.8193690752291098,1777227,18.6813049,-99.1013498,1777.227,4879,48.79,364.26050420168065,6.038366336633663,2199.5383663366338,10200
YUCATAN,751,1.6910224944270562,1955577,20.7098786,-89.0943377,1955.577,39524,395.24,49.47821576763486,52.62849533954727,2603.964047936085,9900
ZACATECAS,700,1.576186080025219,1490668,22.7708555,-102.5832426,1490.668,75284,752.84,19.80059507996387,107.54857142857144,2129.5257142857145,10500
AGUASCALIENTES,608,1.3690301952219046,1184996,21.8852562,-102.2915677,1184.996,5616,56.16,211.00356125356126,9.236842105263158,1949.0065789473683,11100
NAYARIT,547,1.2316768368197069,1084979,21.7513844,-104.8454619,1084.979,27857,278.57,38.94816383673763,50.92687385740402,1983.508226691042,10000
DURANGO,534,1.2024048096192386,1632934,24.0277202,-104.6531759,1632.934,123317,1233.17,13.241759043765255,230.9307116104869,3057.928838951311,10100
TABASCO,492,1.1078336448177253,2238603,29.909492,-91.8997711,2238.603,24731,247.31,90.51809469896082,50.266260162601625,4550.006097560976,8900
TLAXCALA,468,1.0537929792168605,1169936,19.318154,-98.2374954,1169.936,4016,40.16,291.3187250996016,8.581196581196581,2499.863247863248,9200
QUINTANA ROO,434,0.9772353696156357,1325578,19.1817393,-88.4791376,1325.578,44705,447.05,29.651672072475115,103.00691244239631,3054.327188940092,10300
BAJA CALIFORNIA SUR,301,0.6777600144108441,637026,26.0444446,-111.6660725,637.026,73909,739.09,8.619058572027765,245.54485049833886,2116.3654485049833,10800
COLIMA,281,0.6327261264101236,650555,19.2452342,-103.7240868,650.555,5627,56.27,115.61311533676916,20.02491103202847,2315.1423487544484,10700
CAMPECHE,260,0.5854405440093671,822441,19.8301251,-90.5349087,822.441,57507,575.07,14.301580677134957,221.18076923076924,3163.2346153846156,9900
