ESTADO,PROMEDIO PODER ADQUISITIVO
AGUASCALIENTES,11100
BAJA CALIFORNIA,10500
BAJA CALIFORNIA SUR,10800
CAMPECHE,9900
COAHUILA DE ZARAGOZA,10700
COLIMA,10700
CHIAPAS,8100
CHIHUAHUA,10300
CIUDAD DE MEXICO,11700
DURANGO,10100
GUANAJUATO,10500
GUERRERO,8500
HIDALGO,9600
JALISCO,11200
MEXICO,10300
MICHOACAN DE OCAMPO,10000
MORELOS,10200
NAYARIT,10000
NUEVO LEON,10200
OAXACA,8000
PUEBLA,9300
QUERETARO,10700
QUINTANA ROO,10300
SAN LUIS POTOSI,10200
SINALOA,10000
SONORA,10200
TABASCO,8900
TAMAULIPAS,9800
TLAXCALA,9200
VERACRUZ DE IGNACIO DE LA LLAVE,9000
YUCATAN,9900
ZACATECAS,10500
